,current_5576,current_2409,current_2410,current_28987,current_17529,current_20245,current_18538,current_25513,current_27775
2018-01-04 12:00:00,360.25,359.25,358.75,53.75,307.25,23.75,293.25,168.5,84.0
2018-01-04 16:00:00,430.75,437.75,438.25,64.5,375.25,34.5,371.75,204.5,103.75
2018-01-04 20:00:00,409.25,397.75,398.25,65.5,334.0,35.5,331.75,175.5,94.0
2018-01-05 00:00:00,263.25,263.25,263.25,44.5,219.25,14.5,197.25,111.0,64.75
2018-01-05 04:00:00,249.0,249.75,250.0,48.75,202.0,18.75,183.75,96.25,56.75
2018-01-05 08:00:00,337.25,341.75,342.0,59.75,286.5,29.75,275.75,152.25,77.75
2018-01-05 12:00:00,348.75,344.0,345.0,51.75,296.25,21.75,278.0,159.75,79.5
2018-01-05 16:00:00,424.5,423.0,423.25,62.5,362.25,32.5,357.0,201.0,99.75
2018-01-05 20:00:00,395.25,397.0,397.25,67.75,332.25,37.75,331.0,173.75,92.5
2018-01-06 00:00:00,269.0,267.5,267.75,47.5,221.5,17.5,201.5,111.0,64.5
2018-01-06 04:00:00,237.0,235.0,235.25,44.75,194.5,14.75,169.0,93.75,52.25
2018-01-06 08:00:00,340.0,330.5,330.75,56.0,278.0,26.0,264.5,142.5,72.25
2018-01-06 12:00:00,343.75,343.5,343.25,53.0,292.0,23.0,277.5,157.75,78.25
2018-01-06 16:00:00,402.0,409.25,409.5,68.75,340.25,38.75,343.25,184.0,92.25
2018-01-06 20:00:00,382.0,378.0,377.5,65.0,314.5,35.0,312.0,162.0,86.25
2018-01-07 00:00:00,260.0,264.25,264.0,45.75,220.25,15.75,198.25,107.75,62.75
2018-01-07 04:00:00,235.0,236.75,237.5,45.5,193.5,15.5,170.75,93.25,52.0
2018-01-07 08:00:00,307.75,311.75,312.0,68.5,248.0,38.5,245.75,117.25,60.25
2018-01-07 12:00:00,333.75,334.75,334.75,61.0,273.5,31.0,268.75,139.5,68.25
2018-01-07 16:00:00,385.75,389.0,388.5,70.75,320.75,40.75,323.0,157.25,82.0
2018-01-07 20:00:00,371.25,367.75,367.25,69.25,300.0,39.25,301.75,147.0,80.0
2018-01-08 00:00:00,248.25,251.25,251.25,45.75,205.75,15.75,185.25,99.25,58.75
2018-01-08 04:00:00,248.25,250.25,250.75,48.75,202.75,18.75,184.25,97.0,54.5
2018-01-08 08:00:00,345.75,348.0,347.5,62.5,287.75,32.5,282.0,154.25,78.5
2018-01-08 12:00:00,365.5,366.0,366.75,58.75,309.0,28.75,300.0,171.25,85.75
2018-01-08 16:00:00,430.0,427.25,427.0,66.25,364.25,36.25,361.25,197.75,102.0
2018-01-08 20:00:00,397.5,393.0,393.25,66.25,326.5,36.25,327.0,169.75,90.5
2018-01-09 00:00:00,262.5,258.25,258.75,44.5,214.0,14.5,192.25,107.75,62.75
2018-01-09 04:00:00,253.5,248.5,248.25,47.0,202.75,17.0,182.5,96.0,55.0
2018-01-09 08:00:00,343.75,340.0,340.5,60.0,282.25,30.0,274.0,147.25,77.5
2018-01-09 12:00:00,363.25,361.0,361.0,59.5,304.25,29.5,295.0,165.75,81.0
2018-01-09 16:00:00,423.0,425.75,426.25,67.25,362.0,37.25,359.75,194.75,96.5
2018-01-09 20:00:00,399.75,398.0,397.75,67.25,332.5,37.25,332.0,172.0,90.75
2018-01-10 00:00:00,257.25,259.0,259.0,45.5,214.5,15.5,193.0,106.5,62.5
2018-01-10 04:00:00,248.75,250.25,250.0,48.0,203.5,18.0,184.25,93.75,55.0
2018-01-10 08:00:00,342.5,342.0,341.75,62.75,282.0,32.75,276.0,147.75,77.0
2018-01-10 12:00:00,375.75,376.25,376.0,60.75,318.25,30.75,310.25,176.0,88.5
2018-01-10 16:00:00,446.25,445.5,445.75,68.25,378.75,38.25,379.5,205.0,105.25
2018-01-10 20:00:00,407.5,413.5,414.25,67.0,347.75,37.0,347.5,183.0,94.75
2018-01-11 00:00:00,262.5,264.0,263.75,45.0,219.75,15.0,198.0,110.0,63.25
2018-01-11 04:00:00,260.0,261.75,261.25,48.25,214.75,18.25,195.75,102.5,57.75
2018-01-11 08:00:00,361.0,363.75,364.5,62.5,304.75,32.5,297.75,164.75,87.5
2018-01-11 12:00:00,387.5,387.25,388.0,58.75,329.0,28.75,321.25,183.75,92.5
2018-01-11 16:00:00,453.0,453.0,452.75,65.5,388.0,35.5,387.0,214.25,106.75
2018-01-11 20:00:00,412.75,416.75,416.75,68.25,349.75,38.25,350.75,186.25,95.5
2018-01-12 00:00:00,286.0,272.25,272.75,47.0,227.25,17.0,206.25,114.75,68.0
2018-01-12 04:00:00,262.25,263.25,264.0,49.5,214.25,19.5,197.25,103.0,57.25
2018-01-12 08:00:00,377.75,376.75,377.75,66.5,314.25,36.5,310.75,167.25,85.5
2018-01-12 12:00:00,385.75,385.75,385.75,60.0,328.0,30.0,319.75,184.75,91.25
2018-01-12 16:00:00,449.5,443.75,443.75,64.5,380.75,34.5,377.75,212.25,105.0
2018-01-12 20:00:00,412.75,414.0,414.25,68.75,348.0,38.75,348.0,182.75,94.0
2018-01-13 00:00:00,288.5,282.25,282.75,45.75,239.0,15.75,216.25,118.75,68.75
2018-01-13 04:00:00,252.5,252.5,253.0,44.5,208.0,14.5,186.5,101.75,57.5
2018-01-13 08:00:00,360.75,357.25,358.0,60.5,298.25,30.5,291.25,148.5,76.0
2018-01-13 12:00:00,361.25,360.5,360.0,55.25,307.5,25.25,294.5,161.5,79.5
2018-01-13 16:00:00,409.25,406.0,406.0,65.5,343.0,35.5,340.0,183.5,91.75
2018-01-13 20:00:00,384.75,385.0,385.0,65.0,322.25,35.0,319.0,167.75,86.25
2018-01-14 00:00:00,270.25,274.5,273.75,47.75,227.25,17.75,208.5,111.25,66.0
2018-01-14 04:00:00,245.25,247.0,246.75,47.25,201.25,17.25,181.0,98.25,54.75
2018-01-14 08:00:00,322.0,318.75,319.0,69.25,251.5,39.25,252.75,114.25,59.75
2018-01-14 12:00:00,326.0,322.25,322.75,57.75,266.25,27.75,256.25,128.75,66.25
2018-01-14 16:00:00,380.5,387.0,387.25,73.75,315.25,43.75,321.0,153.25,82.75
2018-01-14 20:00:00,370.0,364.75,365.25,68.25,297.25,38.25,298.75,141.25,78.75
2018-01-15 00:00:00,248.0,251.75,251.5,45.5,207.75,15.5,185.75,100.25,58.75
2018-01-15 04:00:00,252.25,254.25,254.5,50.75,205.75,20.75,188.25,97.25,56.75
