,index,data
7370,2018021410,2135.8915
7371,2018021415,2170.416
7372,2018021420,2127.7433
7373,2018021425,2096.2796
7374,2018021430,2090.1888
7375,2018021435,2002.2773
7376,2018021440,2009.4986
7377,2018021445,2051.9549
7378,2018021450,2072.9066
7379,2018021455,2130.4904
7380,2018021500,2199.9234
7381,2018021505,2185.5195
7382,2018021510,2093.6713
7383,2018021515,2096.2873
7384,2018021520,2094.9462
7385,2018021525,2182.6581
7386,2018021530,2241.3226
7387,2018021535,2278.6554
7388,2018021540,2232.3558
7389,2018021545,2256.5252
7390,2018021550,2281.0292
7391,2018021555,2339.2671
